"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"1",3.00169109543061e-11,6.06210211301499,0.071,0.002,3.28805242593469e-07,"mes.prog.1","Kcnj16",0.069
"2",0.000935150667268894,6.04767778036352,0.027,0.002,1,"mes.prog.1","Muc5ac",0.025
"3",1.88999517322724e-09,5.73436651328717,0.054,0.001,2.07030071275312e-05,"mes.prog.1","Inpp5j",0.053
"4",1.70632383751719e-14,5.12610424333096,0.116,0.007,1.86910713161633e-10,"mes.prog.1","Tfcp2l1",0.109
"5",1.47526128188629e-11,4.98834308870207,0.08,0.004,1.61600120817824e-07,"mes.prog.1","Mlph",0.076
"6",3.6023824787526e-05,4.96431731809979,0.036,0.002,0.39460497672256,"mes.prog.1","Abcc3",0.034
"7",3.22332613889916e-11,4.84480149170483,0.071,0.002,3.53083145255014e-07,"mes.prog.1","Parm1",0.069
"8",1.67020305343911e-09,4.77337145447795,0.089,0.009,1.82954042473721e-05,"mes.prog.1","Krt18",0.08
"9",4.95837001647634e-10,4.75360083101205,0.071,0.004,5.43139851604819e-06,"mes.prog.1","Atp1a2",0.067
"10",2.46453545666022e-21,4.697176097405,0.17,0.01,2.6996521392256e-17,"mes.prog.1","Col14a1",0.16
"11",3.84621724172989e-08,4.6676010881843,0.054,0.002,0.000421314636659092,"mes.prog.1","Fmo6",0.052
"12",3.89768051791258e-08,4.63616822052415,0.054,0.002,0.000426951923932144,"mes.prog.1","Dsg2",0.052
"13",1.40077998392417e-08,4.56974222255012,0.062,0.004,0.000153441439439054,"mes.prog.1","Igfbp2",0.058
"14",1.30221011603755e-06,4.48510578161781,0.045,0.002,0.0142644096110753,"mes.prog.1","Cyp4a12b",0.043
"15",1.6554619124288e-10,4.44960012232695,0.08,0.005,1.81339297887451e-06,"mes.prog.1","Kank4",0.075
"16",1.26976848552132e-06,4.44089763316293,0.045,0.002,0.0139090439904005,"mes.prog.1","Celsr2",0.043
"17",9.8553344371994e-13,4.41605244331643,0.116,0.01,1.07955333425082e-08,"mes.prog.1","Atp13a5",0.106
"18",0.000872591566609681,4.40431186267815,0.036,0.005,1,"mes.prog.1","Dgkg",0.031
"19",1.16424466443177e-07,4.37807654143635,0.062,0.005,0.00127531360541857,"mes.prog.1","Atp2a3",0.057
"20",3.68813144174977e-05,4.35975437964803,0.036,0.002,0.403997918129269,"mes.prog.1","Fer1l6",0.034
"21",9.96577830703661e-06,4.28756855460378,0.045,0.004,0.109165135575279,"mes.prog.1","Gm29683",0.041
"22",1.21643028044183e-07,4.2780585290936,0.062,0.005,0.00133247772919598,"mes.prog.1","Gria1",0.057
"23",0.000233820474688459,4.2605677909023,0.036,0.004,1,"mes.prog.1","Pax7",0.032
"24",2.12608813756781e-10,4.24208075586586,0.143,0.023,2.32891694589178e-06,"mes.prog.1","Aox2",0.12
"25",1.5676966914924e-11,4.24004681608943,0.098,0.007,1.71725495586077e-07,"mes.prog.1","Itgbl1",0.091
"26",1.23688892786004e-09,4.1580208027033,0.062,0.002,1.35488813157788e-05,"mes.prog.1","Slco1a5",0.06
"27",7.09546608021875e-14,4.15415909210714,0.152,0.017,7.77237354427162e-10,"mes.prog.1","Muc5b",0.135
"28",1.19978534045847e-05,4.14592141898183,0.054,0.006,0.131424486193821,"mes.prog.1","Chst9",0.048
"29",2.07980823194423e-09,4.13449390838633,0.089,0.009,2.27822193727171e-05,"mes.prog.1","Tex15",0.08
"30",3.3077311399227e-08,4.12135831025823,0.071,0.006,0.000362328869067133,"mes.prog.1","Tmem132c",0.065
"31",2.68751456794615e-06,4.11864988314322,0.062,0.007,0.0294390345772821,"mes.prog.1","Pfkp",0.055
"32",1.30221011603755e-06,4.06359320264676,0.045,0.002,0.0142644096110753,"mes.prog.1","Pglyrp1",0.043
"33",1.21643028044183e-07,4.03406728077682,0.062,0.005,0.00133247772919598,"mes.prog.1","Ephx1",0.057
"34",0.000872591566609681,4.03041546756893,0.036,0.005,1,"mes.prog.1","Tax1bp3",0.031
"35",0.000227023859343271,4.02625323864638,0.036,0.004,1,"mes.prog.1","Kcnq4",0.032
"36",1.03191615628165e-05,3.99909492033892,0.062,0.009,0.113036095759092,"mes.prog.1","Ltf",0.053
"37",0.000224799837162086,3.99314046878698,0.036,0.004,1,"mes.prog.1","Cpne5",0.032
"38",1.20317653094055e-07,3.94574841005666,0.062,0.005,0.00131795957199228,"mes.prog.1","Dock2",0.057
"39",5.90301514474623e-14,3.89735080379389,0.152,0.017,6.46616278955502e-10,"mes.prog.1","Klhl29",0.135
"40",6.31956430050362e-07,3.88330986756224,0.062,0.006,0.00692245073477166,"mes.prog.1","Atp1b1",0.056
"41",4.24019586298849e-07,3.87332906496422,0.054,0.004,0.0046447105483176,"mes.prog.1","Arhgap40",0.05
"42",1.0407233238785e-05,3.82343430996159,0.045,0.004,0.114000832897651,"mes.prog.1","Rasl12",0.041
"43",1.68169881469235e-18,3.81870842567932,0.179,0.016,1.842132881614e-14,"mes.prog.1","Frem1",0.163
"44",5.28807084518809e-05,3.78996411677663,0.045,0.005,0.579255280381903,"mes.prog.1","Map6",0.04
"45",0.000130009269455541,3.77168920595879,0.054,0.009,1,"mes.prog.1","Mrvi1",0.045
"46",8.96614811976518e-09,3.76256082404259,0.08,0.007,9.82151865039078e-05,"mes.prog.1","Synpo2",0.073
"47",0.000894890090265102,3.73373596573132,0.036,0.005,1,"mes.prog.1","9530052E02Rik",0.031
"48",0.00142749187731712,3.72191504047277,0.045,0.009,1,"mes.prog.1","Myh11",0.036
"49",1.23329305428651e-05,3.71367727896211,0.054,0.006,0.135094921166544,"mes.prog.1","Gata2",0.048
"50",1.54903791414838e-09,3.69564827515011,0.107,0.013,1.69681613115814e-05,"mes.prog.1","Anks1b",0.094
"51",1.62058600719937e-08,4.05628380850463,0.057,0.002,0.000177518991228619,"mes.prog.2","Spon2",0.055
"52",9.94806375539692e-56,4.03497705695887,0.701,0.101,1.08971090376618e-51,"mes.prog.2","Ptn",0.6
"53",8.10918659906897e-28,4.00672335782226,0.276,0.021,8.88280300062015e-24,"mes.prog.2","Tnn",0.255
"54",5.26498047119704e-51,3.94345133866969,0.793,0.167,5.76725960814924e-47,"mes.prog.2","Pdzrn4",0.626
"55",1.3302451878901e-31,3.91188233630304,0.345,0.032,1.45715057881482e-27,"mes.prog.2","Aspn",0.313
"56",1.74002312109516e-06,3.8980213216611,0.057,0.005,0.0190602132684764,"mes.prog.2","Apol6",0.052
"57",2.5225251803197e-21,3.84458346147397,0.241,0.024,2.7631740825222e-17,"mes.prog.2","Myo16",0.217
"58",0.000600922487783928,3.73529842621312,0.034,0.004,1,"mes.prog.2","Gm49959",0.03
"59",3.62066128791685e-05,3.54732851377029,0.057,0.007,0.396607237478412,"mes.prog.2","Lfng",0.05
"60",0.00146653802142634,3.53197768783804,0.08,0.023,1,"mes.prog.2","Nrg1",0.057
"61",2.47925420284866e-38,3.52608186905551,0.54,0.081,2.71577505380043e-34,"mes.prog.2","Postn",0.459
"62",7.83067179357484e-08,3.52056092823721,0.103,0.014,0.000857771788268188,"mes.prog.2","Plxnc1",0.089
"63",7.28697800073577e-05,3.52029096137399,0.046,0.005,0.798215570200597,"mes.prog.2","Ssc5d",0.041
"64",0.00216674582443786,3.49738997577051,0.034,0.005,1,"mes.prog.2","Dhcr24",0.029
"65",1.63273855900109e-12,3.46538739159979,0.149,0.017,1.78850181752979e-08,"mes.prog.2","Smoc2",0.132
"66",1.78334051357691e-06,3.45779076430598,0.057,0.005,0.0195347119857215,"mes.prog.2","3010001F23Rik",0.052
"67",1.67833835806939e-14,3.32656759988997,0.161,0.015,1.83845183742921e-10,"mes.prog.2","Angptl2",0.146
"68",0.000105585780278658,3.22211198749551,0.057,0.008,1,"mes.prog.2","Magoh",0.049
"69",0.000781298814523187,3.18526354846016,0.046,0.007,1,"mes.prog.2","Zfp185",0.039
"70",9.74136950566922e-18,3.18381986019037,0.276,0.042,1.06706961565101e-13,"mes.prog.2","Grm7",0.234
"71",0.000278707710574748,3.1564710870676,0.046,0.006,1,"mes.prog.2","Rbm19",0.04
"72",0.00372530081320721,3.1442821105764,0.046,0.009,1,"mes.prog.2","Trim16",0.037
"73",6.37786053031369e-23,3.12609113944378,0.356,0.056,6.98630842490561e-19,"mes.prog.2","Epha3",0.3
"74",0.0018735040980196,3.09084937889425,0.046,0.008,1,"mes.prog.2","Zc3hav1l",0.038
"75",1.91884117214362e-37,3.07727901052261,0.644,0.126,2.10189861996612e-33,"mes.prog.2","Dlg2",0.518
"76",2.30460109763958e-35,3.05104610750478,0.713,0.189,2.52446004235439e-31,"mes.prog.2","Col12a1",0.524
"77",0.00076813220172668,3.03818281851902,0.046,0.007,1,"mes.prog.2","Tbx15",0.039
"78",0.00592445145759455,3.01553318372362,0.034,0.006,1,"mes.prog.2","Atp23",0.028
"79",0.000621329525957009,3.00335310847719,0.034,0.004,1,"mes.prog.2","Rassf5",0.03
"80",0.000801442005000918,2.99664527580527,0.046,0.007,1,"mes.prog.2","Map11",0.039
"81",8.86427213771429e-22,2.98435536395922,0.391,0.071,9.70992369965223e-18,"mes.prog.2","Creb5",0.32
"82",0.00700708876909444,2.96947691150772,0.046,0.011,1,"mes.prog.2","Pcgf6",0.035
"83",5.32291015631448e-07,2.96752498979397,0.126,0.025,0.00583071578522688,"mes.prog.2","Mgat4c",0.101
"84",0.000836088129694661,2.94984176866094,0.046,0.007,1,"mes.prog.2","Tmem8b",0.039
"85",1.84965132196e-14,2.93736796104877,0.184,0.021,2.02610805807499e-10,"mes.prog.2","Fndc1",0.163
"86",4.29908408665992e-06,2.92082303840012,0.092,0.015,0.0470921670852727,"mes.prog.2","Dmc1",0.077
"87",2.83313810144952e-07,2.90427496952533,0.126,0.024,0.00310341947632781,"mes.prog.2","Hectd2",0.102
"88",0.00227042889041401,2.89644684932563,0.034,0.005,1,"mes.prog.2","Lrp8",0.029
"89",0.000408506888302462,2.8573921575334,0.069,0.014,1,"mes.prog.2","Pamr1",0.055
"90",1.01012912487261e-11,2.77830005227974,0.184,0.028,1.10649544338546e-07,"mes.prog.2","P4ha3",0.156
"91",0.00388113801282695,2.77573689121654,0.046,0.009,1,"mes.prog.2","Rmdn2",0.037
"92",0.000621329525957009,2.76701175723572,0.034,0.004,1,"mes.prog.2","Vps37d",0.03
"93",0.000679706175609853,2.7530973502077,0.069,0.015,1,"mes.prog.2","Tom1l1",0.054
"94",1.64881095100298e-13,2.75184736268216,0.241,0.044,1.80610751572867e-09,"mes.prog.2","Mest",0.197
