age,ins.angle,suture-septum angle,genotype,nasal septum deviation
P14,171.445,171.468,ctrl,0
P14,174.986,173.726,ctrl,0
P14,174.854,166.598,ncko,1
P14,171.061,154.461,ncko,1
P14,173.257,105.351,ctrl,1
P14,172.837,110.92,ctrl,1
P14,138.47,145.794,ncko,1
P14,140.667,104.227,ncko,1
P14,153.653,127.79,ncko,1
P15,176.326,178.826,ctrl,0
P15,168.119,176.987,ctrl,0
P16,174.487,165.195,ctrl,1
P16,179.553,168.551,ctrl,1
P16,175.974,167.279,ctrl,1
P16,174.439,179.396,ctrl,0
P16,172.563,179.825,ctrl,0
P16,178,175.247,ctrl,0
P16,173.859,178.023,ctrl,0
P16,155.191,133.782,ncko,1
P16,147.633,131.535,ncko,1
P16,162.377,152.375,ncko,1
P16,172.907,155.806,ncko,1
P14,132.463,132.112,ncko,1
P14,140.131,134.302,ncko,1
P16,175.734,168.855,ctrl,0
P16,179.891,172.191,ctrl,0
P16,178.778,167.98,ctrl,0
P16,174.91,175.715,ctrl,0
P16,176.231,172.788,ctrl,0
P7,150.006,109.26,ncko,1
P7,137.834,109.516,ncko,1
P7,141.37,122.091,ncko,1
P7,133.068,116.098,ncko,1
P7,178.37,124.698,ncko,1
P7,167.858,118.648,ncko,1
P7,170.585,141.843,ncko,1
P7,173.874,161.653,ncko,1
P7,176.634,128.288,ncko,1
P7,178.248,125.713,ncko,1
P7,177.788,151.743,ncko,1
P7,171.034,143.076,ncko,1
P7,164.578,152.309,ncko,0
P7,163.66,152.329,ncko,0
P7,161.537,150.196,ncko,0
P7,157.955,146.395,ncko,0
P7,160.099,149.695,ncko,0
P7,166.33,162.958,ncko,0
P7,161.668,160.031,ncko,0
P7,163.088,153.811,ncko,0
P7,153.644,148.775,ncko,0
P7,154.872,155.297,ncko,0
P7,177.459,179.136,ncko,0
P7,175.591,179.583,ncko,0
P7,178.402,177.875,CTRL,0
P7,177.633,178.882,CTRL,0
P7,177.644,177.375,CTRL,0
P7,177.965,174.161,CTRL,0
P7,173.37,177.172,CTRL,0
P7,179.851,170.066,CTRL,0
P7,177.023,171.72,CTRL,0
P7,178.467,176.171,CTRL,0
P7,176.399,178.177,CTRL,0
P7,176.478,177.723,CTRL,0
P7,179.854,176.92,CTRL,0
P7,177.054,173.578,CTRL,0
P7,173.754,176.495,CTRL,0
P7,165.824,163.174,NCKO,0
P7,163.1,159.057,NCKO,0
P7,162.993,171.076,NCKO,0
P7,163.715,139.067,NCKO,0
P7,101.064,150.218,NCKO,0
P7,106.422,148.884,NCKO,0
P7,104.522,138.013,NCKO,0
P7,105.762,136.112,NCKO,0
P7,106.536,149.363,NCKO,0
P14,178.539,171.525,CTRL,0
P14,175.832,169.011,CTRL,0
P14,178.042,179.788,CTRL,0
P14,179.727,177.873,CTRL,0
P14,176.901,178.982,CTRL,0
P14,174.168,179.897,CTRL,0
P14,175.786,176.968,CTRL,0
P14,169.671,170.947,CTRL,0
P14,170.343,173.278,CTRL,0
P14,174.736,177.053,CTRL,0
P14,171.381,170.423,CTRL,0
P14,172.564,173.48,CTRL,0
P14,174.225,176.956,CTRL,0
P14,131.159,152.183,NCKO,0
P14,127.017,138.544,NCKO,0
P14,134.793,132.42,NCKO,0
P14,133.144,144.142,NCKO,0
P14,139.044,143.189,NCKO,0
P14,145.562,119.816,NCKO,0
P14,149.274,132.15,NCKO,0
P14,154.13,135.552,NCKO,0
P14,151.648,135.548,NCKO,0
P14,148.332,138.294,NCKO,0
P14,164.145,166.29,NCKO,0
P14,160.789,154.888,NCKO,0
P14,171.46,172.641,NCKO,0
P14,175.086,170.291,NCKO,0
P14,174.285,168.505,NCKO,0
P14,169.915,167.963,NCKO,0
P14,164.954,139.901,NCKO,0
P7,172.526,176.977,ctrl,0
P7,174.409,174.467,ctrl,0
P7,167.358,179.592,ctrl,0
P7,170.91,177.481,ctrl,0
P7,170.229,178.73,ncko,0
P7,176.855,177.337,ncko,0
P14,154.189,164.096,ncko,1
P14,153.468,160.011,ncko,1
